Date,Offered_Quantity,Sold_Quantity,Avg_Price_Rs./1000
24/02/2022,945625,748610,60221.00
03/03/2022,1208421,971995,58016.69
10/03/2022,1190753,878571,61359.91
18/03/2022,994053,857404,64862.99
24/03/2022,939161,770095,64702.83
31/03/2022,1321322,658591,58208.46
07/04/2022,1900121,1115130,55761.67
21/04/2022,1987660,1104428,56204.52
28/04/2022,1718467,1074206,60212.90
05/05/2022,2007802,1189089,57253.81
13/05/2022,1635265,879233,56097.06
19/05/2022,1270865,585122,53577.13
26/05/2022,1415359,745649,52694.11
02/06/2022,1578534,826551,53371.50
09/06/2022,2031571,1143568,52415.45
16/06/2022,1581054,776952,45241.65
23/06/2022,1393222,965322,46459.00
07/07/2022,2747989,1839344,46258.27
14/07/2022,1225557,802895,47928.69
21/07/2022,1030227,940385,59769.87
28/07/2022,1158029,910006,64115.55
04/08/2022,1399382,1210118,62329.53
12/08/2022,1019395,576906,64618.23
18/08/2022,1061961,589239,65311.04
25/08/2022,1792391,1452954,64192.23
01/09/2022,1163225,843597,63361.60
08/09/2022,1309247,959249,61308.49
15/09/2022,822908,455570,58355.51
22/09/2022,1020438,813551,57396.19
29/09/2022,1018186,706009,58516.87
06/10/2022,1381134,970638,59180.08
13/10/2022,1125036,825176,59236.26
20/10/2022,687621,639610,62037.99
27/10/2022,580619,480225,65388.00
03/11/2022,700664,555095,64122.02
10/11/2022,795369,653587,63659.82
17/11/2022,462236,397953,64154.05
24/11/2022,502417,362167,66247.20
01/12/2022,613859,538449,69975.88
08/12/2022,722163,547365,76438.65
15/12/2022,440460,391427,77786.14
22/12/2022,486798,466375,81304.22
13/05/2021,1273900,914791,62839.99
20/05/2021,873107,352272,62970.41
28/05/2021,800823,452318,63170.01
03/06/2021,975623,752576,62635.81
10/06/2021,1239094,649372,60375.12
17/06/2021,1105300,677997,55224.12
25/06/2021,1086587,568878,52911.94
01/07/2021,1148994,798919,51421.14
08/07/2021,1678198,1153197,54061.25
15/07/2021,1055068,877354,60207.17
22/07/2021,842603,722054,60462.68
29/07/2021,685681,476712,55984.99
05/08/2021,1652242,1104876,52728.00
12/08/2021,1468729,850665,51440.06
19/08/2021,1261862,732181,51101.06
26/08/2021,963778,716339,52024.84
03/09/2021,1435432,1120510,53778.14
09/09/2021,1620591,1133408,54140.43
16/09/2021,1059460,648578,53028.20
23/09/2021,1076793,622614,50897.44
30/09/2021,1062646,525769,50194.20
07/10/2021,1558399,930358,48879.86
14/10/2021,988614,619523,48433.07
21/10/2021,948948,704601,55360.99
28/10/2021,656132,620442,57774.67
05/11/2021,988417,485530,61635.67
11/11/2021,1133556,1024086,61829.90
19/11/2021,459072,357202,61675.56
25/11/2021,515090,356186,58898.23
02/12/2021,700161,603471,53975.69
09/12/2021,962055,738174,56136.43
16/12/2021,807665,653454,58610.68
23/12/2021,700121,577322,59545.40
